"ISSN","TITULO","ESTRATO","ISSN_temp","Print_ISSN","E_ISSN"
"1575-0965","REVISTA ELECTRÓNICA INTERUNIVERSITARIA DE FORMACIÓN DEL PROFESORADO","A4","15750965",NA,"15750965"
"2178-2091","REVISTA ELETRÔNICA ACERVO SAÚDE","B2","21782091",NA,NA
"1981-4127","REVISTA ELETRÔNICA AMBIENTE: GESTÃO E DESENVOLVIMENTO","B3","19814127",NA,NA
"1984-4735","REVISTA ELETRÔNICA ARMA DA CRÍTICA","B4","19844735",NA,NA
"2595-5888","REVISTA ELETRÔNICA CASA DE MAKUNAIMA","B3","25955888",NA,NA
"2448-0479","REVISTA ELETRÔNICA CIENTÍFICA DA UERGS","B1","24480479",NA,NA
"2358-7083","REVISTA ELETRÔNICA CIENTÍFICA DO CRA-PR","B1","23587083",NA,NA
"2447-0783","REVISTA ELETRÔNICA CIENTÍFICA ENSINO INTERDISCIPLINAR","A4","24470783",NA,NA
"2448-0452","REVISTA ELETRÔNICA COMPETÊNCIAS DIGITAIS PARA AGRICULTURA FAMILIAR (RECODAF)","B2","24480452",NA,NA
"2176-6231","REVISTA ELETRÔNICA COMTEMPO","B4","21766231",NA,NA
"2177-8256","REVISTA ELETRÔNICA DA ACADEMIA BRASILEIRA DE DIREITO CONSTITUCIONAL","B1","21778256",NA,NA
"1679-1061","REVISTA ELETRÔNICA DA ANPHLAC","A3","16791061",NA,NA
"1808-2653","REVISTA ELETRÔNICA DA ASSOCIAÇÃO DOS GEÓGRAFOS BRASILEIROS, SEÇÃO TRÊS LAGOAS","B4","18082653",NA,NA
"2595-4598","REVISTA ELETRÔNICA DA ESA/RS","B4","25954598",NA,NA
"1983-4225","REVISTA ELETRÔNICA DA FACULDADE DE DIREITO DE FRANCA","B4","19834225",NA,NA
"1981-0377","REVISTA ELETRÔNICA DA FACULDADE METODISTA GRANBERY","B4","19810377",NA,NA
"2594-4479","REVISTA ELETRÔNICA DE ADMINISTRAÇÃO DA UNIVERSIDADE SANTA ÚRSULA","B4","25944479",NA,NA
"2236-451X","REVISTA ELETRÔNICA DE CIÊNCIA POLÍTICA","A3","2236451X",NA,NA
"2175-7283","REVISTA ELETRÔNICA DE CIÊNCIAS SOCIAIS","B4","21757283",NA,NA
"1678-8729","REVISTA ELETRÔNICA DE DIREITO DO CENTRO UNIVERSITÁRIO NEWTON PAIVA","B1","16788729",NA,NA
"1982-7636","REVISTA ELETRÔNICA DE DIREITO PROCESSUAL","B1","19827636",NA,NA
"1982-7199","REVISTA ELETRÔNICA DE EDUCAÇÃO (SÃO CARLOS)","A2","19827199",NA,NA
"2236-8779","REVISTA ELETRÔNICA DE EDUCAÇÃO DA FACULDADE ARAGUAIA - RENEFARA","B4","22368779",NA,NA
"1518-1944","REVISTA ELETRÔNICA DE ENFERMAGEM","B1","15181944",NA,NA
"1984-3372","REVISTA ELETRÔNICA DE ESTRATÉGIA E NEGÓCIOS","A3","19843372",NA,NA
"1980-8372","REVISTA ELETRÔNICA DE ESTUDOS HEGELIANOS","B1","19808372",NA,NA
"2316-6223","REVISTA ELETRÔNICA DE ESTUDOS JURÍDICOS E DA SOCIEDADE","B4","23166223",NA,NA
"2317-563X","REVISTA ELETRÔNICA DE GESTÃO E TECNOLOGIAS AMBIENTAIS","B2","2317563X",NA,NA
"2179-474X","REVISTA ELETRÔNICA DE INCIAÇÃO CIENTÍFICA TECNOLÓGICA E ARTÍSTICA","B1","2179474X",NA,NA
"1809-8797","REVISTA ELETRÔNICA DE MATERIAIS E PROCESSOS (UFCG)","B4","18098797",NA,NA
"2238-2216","REVISTA ELETRÔNICA DE PESQUISA DA UNIRP - UNIVERSITAS","B3","22382216",NA,NA
"1984-557X","REVISTA ELETRÔNICA DE POTÊNCIA","A4","1984557X",NA,NA
"1677-3071","REVISTA ELETRÔNICA DE SISTEMAS DE INFORMAÇÃO (RESI)","B3","16773071",NA,NA
"2237-0072","REVISTA ELETRÔNICA DE SISTEMAS DE INFORMAÇÃO E GESTÃO TECNOLÓGICA","B3","22370072",NA,NA
"2236-2150","REVISTA ELETRÔNICA DEBATES EM EDUCAÇÃO CIENTÍFICA E TECNOLÓGIC","A4","22362150",NA,NA
"1980-7791","REVISTA ELETRÔNICA DIREITO E POLÍTICA","A4","19807791",NA,NA
"2317-6989","REVISTA ELETRÔNICA DISCENTE HISTÓRIA.COM","B2","23176989",NA,NA
"1981-3694","REVISTA ELETRÔNICA DO CURSO DE DIREITO DA UFSM","A1","19813694",NA,NA
"2446-9513","REVISTA ELETRÔNICA DO DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS & DEPARTAMENTO DE ATUÁRIA E MÉTODOS QUANTITATIVOS","B2","24469513",NA,NA
"1678-3182","REVISTA ELETRÔNICA DO INSTITUTO DE HUMANIDADES","B3","16783182",NA,NA
"1517-1256","REVISTA ELETRÔNICA DO MESTRADO EM EDUCAÇÃO AMBIENTAL","A4","15171256",NA,NA
"2316-6681","REVISTA ELETRÔNICA DO MESTRADO PROFISSIONAL EM ENGENHARIA DE PETRÓLEO E GÁS DA UNIVERSIDADE POTIGUAR - RUNPETRO","B4","23166681",NA,NA
"2176-5804","REVISTA ELETRÔNICA DOCUMENTO/MONUMENTO","B3","21765804",NA,NA
"2236-1170","REVISTA ELETRÔNICA EM GESTÃO, EDUCAÇÃO E TECNOLOGIA AMBIENTAL REGET-CT/UFSM","A4","22361170",NA,NA
"1983-1617","REVISTA ELETRÔNICA ESTÁCIO SAÚDE","B4","19831617",NA,NA
"1984-0519","REVISTA ELETRÔNICA FRONTISTÉS","B4","19840519",NA,NA
"1982-4785","REVISTA ELETRÔNICA GESTÃO & SAÚDE","B3","19824785",NA,NA
"2177-7284","REVISTA ELETRÔNICA GESTÃO E SERVIÇOS","B1","21777284",NA,NA
"1981-2434","REVISTA ELETRÔNICA HISTÓRIA EM REFLEXÃO (UFGD)","A3","19812434",NA,NA
"2594-7664","REVISTA ELETRÔNICA INTERAÇÕES SOCIAIS","B4","25947664",NA,NA
"2237-8588","REVISTA ELETRÔNICA JUDICARE","B4","22378588",NA,NA
"2527-2624","REVISTA ELETRÔNICA LUDUS SCIENTIAE","A3","25272624",NA,NA
"2178-9568","REVISTA ELETRÔNICA MACHADO SOBRINHO","B3","21789568",NA,NA
"1984-4204","REVISTA ELETRÔNICA MESTRADO EM ADMINISTRAÇÃO","B1","19844204",NA,NA
"2316-2317","REVISTA ELETRÔNICA MULTIDISCIPLINAR FACEAR","B4","23162317",NA,NA
"2178-7018","REVISTA ELETRÔNICA MUTAÇÕES","B3","21787018",NA,NA
"2237-4779","REVISTA ELETRÔNICA ORGANIZAÇÕES E SOCIEDADE","B3","22374779",NA,NA
"2178-3039","REVISTA ELETRÔNICA PEDAGOGIA EM FOCO (ITURAMA - MG)","A3","21783039",NA,NA
"2177-7748","REVISTA ELETRÔNICA SABERES DA EDUCAÇÃO","B4","21777748",NA,NA
"2316-7297","REVISTA ELETRÔNICA SALA DE AULA EM FOCO","B4","23167297",NA,NA
"2238-1910","REVISTA ELETRÔNICA SCIENTIA AMAZÔNIA","B4","22381910",NA,NA
"9729-6465","REVISTA ELO","B4","97296465",NA,NA
"2447-7648","REVISTA EM GESTÃO, INOVAÇÃO E SUSTENTABILIDADE","B4","24477648",NA,NA
"2595-5543","REVISTA EMPREENDA UNITOLEDO","B4","25955543",NA,NA
"2595-1963","REVISTA EMPREERDER E INOVAR","B4","25951963",NA,NA
"2359-6082","REVISTA EMREDE - REVISTA DE EDUCAÇÃO À DISTÂNCIA","B4","23596082",NA,NA
"2177-160X","REVISTA ENBORNAL","B4","2177160X",NA,NA
"1983-828X","REVISTA ENCONTROS DE VISTA","B3","1983828X",NA,NA
"2526-6578","REVISTA ENCONTROS UNIVERSITÁRIOS DA UFC","B4","25266578",NA,NA
"1692-5858","REVISTA ENCUENTROS","A2","16925858",NA,NA
"2317-3378","REVISTA ENFERMAGEM CONTEMPORÂNEA","B3","23173378",NA,NA
"0104-3552","REVISTA ENFERMAGEM UERJ","A4","1043552","1043552",NA
"1998-5487","REVISTA ENFERMERÍA HEREDIANA","B4","19985487",NA,NA
"1678-1813","REVISTA ENFOQUES (RIO DE JANEIRO)","A4","16781813",NA,NA
"2236-4757","REVISTA ENGRENAGEM","B2","22364757",NA,NA
"2316-2341","REVISTA ENIAC PESQUISA","B2","23162341",NA,NA
"2177-4994","REVISTA ENSAIOS FILOSÓFICOS","B3","21774994",NA,NA
"2179-4510","REVISTA ENSINO DE GEOGRAFIA","B1","21794510",NA,NA
"2594-9616","REVISTA ENSINO DE GEOGRAFIA (RECIFE)","A4","25949616",NA,NA
"2317-1219","REVISTA ENTREIDEIAS: EDUCAÇÃO, CULTURA E SOCIEDADE","B1","23171219",NA,NA
"2178-9479","REVISTA ENTRELETRAS","B3","21789479",NA,NA
"2179-3948","REVISTA ENTRELETRAS (ARAGUAÍNA: UFT)","B3","21793948",NA,NA
"2447-3529","REVISTA ENTRELÍNGUAS","A3","24473529",NA,NA
"2176-9559","REVISTA ENTRE-LUGAR","A3","21769559",NA,NA
"2595-3753","REVISTA ENTRERIOS","B4","25953753",NA,NA
"2527-080X","REVISTA ÉPICAS","B1","2527080X",NA,NA
"2318-8855","REVISTA EPÍGRAFE","B4","23188855",NA,NA
"2236-2649","REVISTA EPISTEME TRANSVERSALIS","A4","22362649",NA,NA
"2526-7655","REVISTA EPISTEMOLOGIAS DO SUL","B4","25267655",NA,NA
"2178-700X","REVISTA EPOS (ELETRÔNICA)","B2","2178700X",NA,NA
"2182-7591","REVISTA E-PSI","B2","21827591",NA,NA
"2317-3491","REVISTA EQUADOR (UFPI)","A4","23173491",NA,NA
"2446-5674","REVISTA EQUATORIAL - REVISTA DOS ALUNOS DO PROGRAMA DE PÓS-GRADUAÇÃO EM ANTROPOLOGIA SOCIAL","B3","24465674",NA,NA
"2357-7509","REVISTA ESCOLA DE NEGÓCIOS","B4","23577509",NA,NA
"1679-6888","REVISTA ESCRITA (PUCRJ. ONLINE)","B3","16796888",NA,NA
"2359-0238","REVISTA ESCRITA DA HISTÓRIA","A4","23590238",NA,NA
"2177-6288","REVISTA E-SCRITA: REVISTA DO CURSO DE LETRAS DA UNIABEU","A3","21776288",NA,NA
"2316-7122","REVISTA ESFERAS","B1","23167122",NA,NA
"2177-0360","REVISTA ESMAT","B3","21770360",NA,NA
"2177-0260","REVISTA ESMAT","B3","21770260",NA,NA
"2447-9896","REVISTA ESMAT (ON LINE)","B3","24479896",NA,NA
"2236-1367","REVISTA ESPAÇO ABERTO","A2","22361367",NA,NA
"1519-6186","REVISTA ESPAÇO ACADÊMICO (UEM)","A4","15196186",NA,NA
"1981-3007","REVISTA ESPAÇO CIÊNCIA & SAÚDE (UNICRUZ)","B3","19813007",NA,NA
"1983-1579","REVISTA ESPAÇO DO CURRÍCULO (ONLINE)","A4","19831579",NA,NA
"2238-0302","REVISTA ESPAÇO PEDAGÓGICO","A4","22380302",NA,NA
"2595-5535","REVISTA ESPAÇO PÚBLICO","B4","25955535",NA,NA
"1885-5857","REVISTA ESPAÑOLA DE CARDIOLOGÍA (INTERNET. ENGLISH ED.)","A4","18855857","18855857",NA
"1130-0558","REVISTA ESPAÑOLA DE CIRUGÍA ORAL Y MAXILOFACIAL","B3","11300558","11300558",NA
"1137-8875","REVISTA ESPAÑOLA DE DESARROLLO Y COOPERACIÓN","B1","11378875",NA,NA
"0210-0614","REVISTA ESPAÑOLA DE DOCUMENTACIÓN CIENTÍFICA","A3","2100614","2100614","19884621"
"1130-0108","REVISTA ESPAÑOLA DE ENFERMEDADES DIGESTIVAS","B2","11300108","11300108",NA
"1575-1198","REVISTA ESPANOLA DE ESTUDIOS AGROSOCIALES Y PESQUEROS","B3","15751198",NA,NA
"0211-139X","REVISTA ESPAÑOLA DE GERIATRÍA Y GERONTOLOGÍA (ED. IMPRESA)","B2","211139X",NA,NA
"2173-1292","REVISTA ESPAÑOLA DE NUTRICIÓN HUMANA Y DIETÉTICA (ACTIVIDAD DIETÉTICA)","B3","21731292","21731292","21745145"
"1575-0620","REVISTA ESPAÑOLA DE SANIDAD PENITENCIARIA","B1","15750620",NA,NA
"1578-2824","REVISTA ESPANOLA DE SOCIOLOGIA","B1","15782824","15782824",NA
"2317-0611","REVISTA ESPINHAÇO","B2","23170611",NA,NA
"2594-9721","REVISTA ESPIRALES","B4","25949721",NA,NA
"1983-1595","REVISTA ESTÁCIO PAPIRUS (FESSC)","B4","19831595",NA,NA
"2413-8274","REVISTA ESTADO Y POLÍTICAS PÚBLICAS","A2","24138274",NA,NA
"2310-550X","REVISTA ESTADO Y POLÍTICAS PÚBLICAS","A2","2310550X",NA,NA
"2238-362X","REVISTA ESTÉTICA E SEMIÓTICA","B2","2238362X",NA,NA
"1019-4355","REVISTA ESTOMATOLÓGICA HEREDIANA","B2","10194355",NA,NA
"2183-4075","REVISTA ESTRANHAR PESSOA","B1","21834075",NA,NA
"2526-9526","REVISTA ESTRATÉGIA E DESENVOLVIMENTO","B4","25269526",NA,NA
"2526-2432","REVISTA ESTRUTURA","B3","25262432",NA,NA
"1405-9436","REVISTA ESTUDIOS DE GENERO LA VENTANA","B2","14059436",NA,NA
"0719-6296","REVISTA ESTUDIOS DE POLÍTICAS PÚBLICAS","B3","7196296",NA,NA
"2448-3389","REVISTA ESTUDOS ANGLO-AMERICANOS","B1","24483389",NA,NA
"2525-703X","REVISTA ESTUDOS APLICADOS EM EDUCAÇÃO","B2","2525703X",NA,NA
"2182-7044","REVISTA ESTUDOS DE JORNALISMO","B2","21827044",NA,NA
"2595-9018","REVISTA ESTUDOS DE PLANEJAMENTO","B4","25959018",NA,NA
"2594-7559","REVISTA ESTUDOS E PESQUISAS EM ADMINISTRAÇÃO","B4","25947559",NA,NA
"2177-2967","REVISTA ESTUDOS FILOSÓFICOS","B4","21772967",NA,NA
"2177-1006","REVISTA ESTUDOS HUM(E)ANOS","B3","21771006",NA,NA
"2447-5467","REVISTA ESTUDOS INSTITUCIONAIS","B1","24475467",NA,NA
"2177-2851","REVISTA ESTUDOS POLÍTICOS","A4","21772851",NA,NA
"2177-5788","REVISTA ESTUDOS UNIVERSITÁRIOS","B2","21775788",NA,NA
"1665-2703","REVISTA ETNOBIOLOGÍA","A3","16652703",NA,NA
"1697-011X","REVISTA EUREKA SOBRE ENSEÑANZA Y DIVULGACIÓN DE LAS CIENCIAS","A1","1697011X","1697011X",NA
"2387-1555","REVISTA EUROAMERICANA DE ANTROPOLOGIA","B1","23871555",NA,NA
"2362-583X","REVISTA EUROLATINOAMERICANA DE DERECHO ADMINISTRATIVO","B3","2362583X",NA,NA
"2174-0135","REVISTA EUROPEA DE HISTORIA DE LAS IDEAS POLÍTICAS Y DE LAS INSTITUCIONES PÚBLICAS","B3","21740135",NA,NA
"2236-3165","REVISTA EVENTOS PEDAGÓGICOS","B2","22363165",NA,NA
"2318-1001","REVISTA EVIDENCIAÇÃO CONTÁBIL & FINANÇAS","A3","23181001",NA,NA
"2237-9460","REVISTA EXITUS.","A4","22379460",NA,NA
"1676-045X","REVISTA EXPECTATIVA (IMPRESSO)","B2","1676045X",NA,NA
"2237-8782","REVISTA EXPRESSÃO CATÓLICA","B3","22378782",NA,NA
"2357-8483","REVISTA EXPRESSÃO CATÓLICA (ONLINE)","B3","23578483",NA,NA
"2236-6784","REVISTA EXTENSÃO","B4","22366784",NA,NA
"2319-0566","REVISTA EXTENSÃO & CIDADANIA","B3","23190566",NA,NA
"2178-6054","REVISTA EXTENSÃO E SOCIEDADE","B4","21786054",NA,NA
"2316-400X","REVISTA EXTENSÃO EM AÇÃO","B2","2316400X",NA,NA
"2317-9791","REVISTA EXTENSÃO EM FOCO","B3","23179791",NA,NA
"2236-3467","REVISTA EXTRAPRENSA","B2","22363467",NA,NA
"0874-6885","REVISTA FACES DE EVA. ESTUDOS SOBRE A MULHER","A3","8746885",NA,NA
"2238-8524","REVISTA FACISA ON-LINE","B1","22388524",NA,NA
"2526-2629","REVISTA FACTHUS DE ADMINISTRAÇÃO E GESTÃO","B4","25262629",NA,NA
"1519-5104","REVISTA FACULDADE DE DIREITO PUCSP","B4","15195104",NA,NA
"0121-6805","REVISTA FACULTAD DE CIENCIAS ECONÓMICAS: INVESTIGACIÓN Y REFLEXIÓN","B1","1216805",NA,NA
"0120-6230","REVISTA FACULTAD DE INGENIERÍA UNIVERSIDAD DE ANTIOQUIA","B3","1206230","1206230","24222844"
"0304-2847","REVISTA FACULTAD NACIONAL DE AGRONOMIA","B3","3042847","3042847","22487026"
"2178-7476","REVISTA FAED - UNEMAT","B2","21787476",NA,NA
"0104-7043","REVISTA FAEEBA","A2","1047043",NA,NA
"1980-3729","REVISTA FAMECOS (ONLINE)","A2","19803729",NA,NA
"2318-8413","REVISTA FAMÍLIA, CICLOS DE VIDA E SAÚDE NO CONTEXTO SOCIAL","B1","23188413",NA,NA
"1807-9660","REVISTA FAROL","B4","18079660",NA,NA
"2358-9817","REVISTA FATEC SEBRAE EM DEBATE: GESTÃO, TECNOLOGIAS E NEGÓCIOS","B3","23589817",NA,NA
"2317-2932","REVISTA FEMINISMOS","A4","23172932",NA,NA
"2236-000X","REVISTA FEOL","B3","2236000X",NA,NA
"2236-2037","REVISTA FEVEREIRO - POLÍTICA, TEORIA, CULTURA","B2","22362037",NA,NA
"2177-1383","REVISTA FIDES","B1","21771383",NA,NA
"2176-9419","REVISTA FILOLOGIA E LINGUÍSTICA PORTUGUESA (VERSÃO ELETRÔNICA)","A2","21769419",NA,NA
"1982-6613","REVISTA FILOSOFIA CAPITAL","B3","19826613",NA,NA
"0872-0851","REVISTA FILOSÓFICA DE COIMBRA","B1","8720851",NA,NA
"1984-1728","REVISTA FILOSÓFICA SÃO BOAVENTURA","B4","19841728",NA,NA
"2236-5109","REVISTA FOCANDO A EXTENSÃO","B4","22365109",NA,NA
"2447-0120","REVISTA FOLHA DE ROSTO","B2","24470120",NA,NA
"2595-9778","REVISTA FONTES DOCUMENTAIS","B3","25959778",NA,NA
"0102-8413","REVISTA FORENSE (IMPRESSO)","B4","1028413",NA,NA
"1678-6777","REVISTA FORENSE ELETRÔNICA (CD-ROM)","B4","16786777",NA,NA
"2215-2504","REVISTA FORESTAL MESOAMERICANA KURU","B1","22152504",NA,NA
"1806-5457","REVISTA FORMADORES (ONLINE)","B3","18065457",NA,NA
"2526-7507","REVISTA FORPROLL","B4","25267507",NA,NA
"2319-0795","REVISTA FÓRUM DE CIÊNCIAS CRIMINAIS","B4","23190795",NA,NA
"1982-3916","REVISTA FÓRUM IDENTIDADES","A3","19823916",NA,NA
"1518-6113","REVISTA FRONTEIRA","A3","15186113",NA,NA
"2317-2983","REVISTA FSA (FACULDADE SANTO AGOSTINHO) (ONLINE)","B2","23172983",NA,NA
"1806-6356","REVISTA FSA: PERIÓDICO CIENTÍFICO DA FACULDADE SANTO AGOSTINHO (PRINT)","B2","18066356",NA,NA
"2526-5628","REVISTA FUNEC CIENTÍFICA","B4","25265628",NA,NA
"2526-897X","REVISTA GAE-OMAM","B4","2526897X",NA,NA
"1132-8932","REVISTA GALEGA DE EDUCACIÓN - PUBLICACIÓN DE NOVA ESCOLA GALEGA","B1","11328932",NA,NA
"2182-8539","REVISTA GAMA","B1","21828539",NA,NA
"1809-2586","REVISTA GARRAFA (PPGL/UFRJ)","A4","18092586",NA,NA
"0102-6933","REVISTA GAÚCHA DE ENFERMAGEM (UFRGS. IMPRESSO)","A2","1026933","1026933","19831447"
"2447-0740","REVISTA GEAMA (ONLINE)","B1","24470740",NA,NA
"2357-9854","REVISTA GEARTE","A4","23579854",NA,NA
"1982-3266","REVISTA GEDECON","B4","19823266",NA,NA
"2237-0722","REVISTA GEINTEC: GESTÃO, INOVAÇÃO E TECNOLOGIAS","B2","22370722",NA,NA
"2179-1465","REVISTA GEMINIS","A4","21791465",NA,NA
"1886-6212","REVISTA GENERAL DE DERECHO CONSTITUCIONAL (INTERNET)","A4","18866212",NA,NA
"1698-1189","REVISTA GENERAL DE DERECHO PENAL","B2","16981189",NA,NA
"1132-1873","REVISTA GENERAL DE INFORMACIÓN Y DOCUMENTACIÓN","B2","11321873","11321873","19882858"
"2316-1108","REVISTA GÊNERO","A4","23161108",NA,NA
"2358-1778","REVISTA GEOAMAZÔNIA","B3","23581778",NA,NA
"2236-9716","REVISTA GEOARAGUAIA","A4","22369716",NA,NA
"1981-089X","REVISTA GEOGRAFAR (UFPR)","B1","1981089X",NA,NA
"1982-9760","REVISTA GEOGRAFIA E PESQUISA","B3","19829760",NA,NA
"2594-9632","REVISTA GEOGRAFIA, LITERATURA E ARTE","B2","25949632",NA,NA
"1678-7226","REVISTA GEOGRÁFICA ACADÊMICA","B3","16787226",NA,NA
"1012-1617","REVISTA GEOGRÁFICA VENEZOLANA","B3","10121617","10121617","22448853"
"2238-0205","REVISTA GEOGRAFICIDADE - UNIVERSIDADE FEDERAL FLUMINENSE","B1","22380205",NA,NA
"2595-0797","REVISTA GEOMETRIA GRÁFICA","B4","25950797",NA,NA
"1517-4999","REVISTA GEOPANTANAL","B2","15174999",NA,NA
"2446-8681","REVISTA GEOPANTANAL","B2","24468681",NA,NA
"2527-2349","REVISTA GEOPOLÍTICA TRANSFRONTEIRIÇA","B3","25272349",NA,NA
"2525-5703","REVISTA GEOSERTÕES","B1","25255703",NA,NA
"2315-028X","REVISTA GEOUECE","B4","2315028X",NA,NA
"1657-7027","REVISTA GERENCIA Y POLITICA DE SALUD","B3","16577027","16577027",NA
"2237-1095","REVISTA GESTÃO & POLÍTICAS PÚBLICAS","B4","22371095",NA,NA
"2238-8753","REVISTA GESTÃO & SUSTENTABILIDADE AMBIENTAL","B1","22388753",NA,NA
"1677-9479","REVISTA GESTÃO & TECNOLOGIA","A3","16779479",NA,NA
"2526-8384","REVISTA GESTÃO DO CONHECIMENTO E TECNOLOGIA DA INFORMAÇÃO","B4","25268384",NA,NA
"1677-9762","REVISTA GESTÃO E CONHECIMENTO","B4","16779762",NA,NA
"2526-2289","REVISTA GESTÃO E ORGANIZAÇÕES (REGOR)","B3","25262289",NA,NA
"1984-7297","REVISTA GESTÃO EM ANÁLISE","B3","19847297",NA,NA
"2177-1243","REVISTA GESTÃO PÚBLICA: PRÁTICAS E DESAFIOS.","B4","21771243",NA,NA
"1983-4535","REVISTA GESTÃO UNIVERSITÁRIA NA AMÉRICA LATINA - GUAL","B1","19834535",NA,NA
"2318-4981","REVISTA GESTÃO, SUSTENTABILIDADE E NEGÓCIOS","B4","23184981",NA,NA
"2358-0216","REVISTA GESTO","B3","23580216",NA,NA
"2595-9832","REVISTA GPES - ESTUDOS SURDOS","B4","25959832",NA,NA
"2236-3335","REVISTA GRADUANDO","B3","22363335",NA,NA
"2175-0157","REVISTA GRIFOS","B3","21750157",NA,NA
"2447-9551","REVISTA GTLEX","B3","24479551",NA,NA
"1809-7065","REVISTA HABITUS","B4","18097065",NA,NA
"2362-2784","REVISTA HACHE","B2","23622784",NA,NA
"2446-7154","REVISTA HIPÓTESE","B2","24467154",NA,NA
"1676-2584","REVISTA HISTEDBR ON-LINE","A3","16762584",NA,NA
"1808-091X","REVISTA HISTÓRIA & LUTA DE CLASSES","B2","1808091X",NA,NA
"2522-3690","REVISTA HISTORIA DE LAS MUJERES","A4","25223690",NA,NA
"2237-6569","REVISTA HISTÓRIA E DIVERSIDADE","B3","22376569",NA,NA
"1806-3993","REVISTA HISTÓRIA HOJE","A3","18063993",NA,NA
"2176-1116","REVISTA HISTORIADOR","B4","21761116",NA,NA
"2176-3267","REVISTA HISTORIAR - REVISTA ELETRÔNICA DO CURSO DE HISTÓRIA UNIVERSIDADE ESTADUAL VALE DO ACARAÚ","B3","21763267",NA,NA
"1982-3800","REVISTA HOMEM, ESPAÇO E TEMPO","B3","19823800",NA,NA
"2526-3846","REVISTA HON NO MUSHI","B3","25263846",NA,NA
"2317-109X","REVISTA HORIZONTES","A4","2317109X",NA,NA
"1807-975X","REVISTA HOSPITALIDADE","A4","1807975X",NA,NA
"1517-7602","REVISTA HUMANAE (RECIFE)","B3","15177602",NA,NA
"2343-6441","REVISTA HUMANARTES (PRINT)","B4","23436441",NA,NA
"2236-4358","REVISTA HÚMUS","A4","22364358",NA,NA
"2447-942X","REVISTA HYDRA","B1","2447942X",NA,NA
"2594-973X","REVISTA ÎANDÉ: CIÊNCIAS E HUMANIDADES","B4","2594973X",NA,NA
"1135-3848","REVISTA IBEROAMERICA DE DIAGNÓSTICO Y EVALUACIÓN PSICOLÓGICA","A3","11353848","11353848",NA
"2154-4794","REVISTA IBEROAMERICANA","B3","21544794",NA,NA
"2172-8801","REVISTA IBEROAMERICANA DE ARGUMENTACIÓN","A3","21728801",NA,NA
"1697-7912","REVISTA IBEROAMERICANA DE AUTOMÁTICA E INFORMÁTICA INDUSTRIAL (ED. IMPRESA)","B3","16977912","16977912","16977920"
"1983-5213","REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO","B1","19835213",NA,NA
"1850-0013","REVISTA IBEROAMERICANA DE CIENCIA TECNOLOGÍA Y SOCIEDAD (EN LÍNEA)","A2","18500013",NA,NA
"2179-6858","REVISTA IBERO-AMERICANA DE CIÊNCIAS AMBIENTAIS","B1","21796858",NA,NA
"1696-294X","REVISTA IBEROAMERICANA DE CONTABILIDAD DE GESTIÓN","B4","1696294X",NA,NA
"2358-7156","REVISTA IBEROAMERICANA DE DERECHO PROCESAL","B2","23587156",NA,NA
"1390-2776","REVISTA IBEROAMERICANA DE ECONOMÍA ECOLÓGICA","A4","13902776",NA,NA
"1681-5653","REVISTA IBEROAMERICANA DE EDUCACIÓN (ONLINE)","A2","16815653",NA,NA
"1138-2783","REVISTA IBEROAMERICANA DE EDUCACIÓN A DISTANCIA","B1","11382783",NA,NA
"2174-6915","REVISTA IBEROAMERICANA DE EDUCACIÓN E INVESTIGACIÓN EN ENFERMERÍA","B3","21746915",NA,NA
"2007-2872","REVISTA IBEROAMERICANA DE EDUCACIÓN SUPERIOR (RIES)","A2","20072872",NA,"20072872"
"2176-0756","REVISTA IBERO-AMERICANA DE ESTRATÉGIA RIAE","A3","21760756",NA,NA
"0719-1790","REVISTA IBEROAMERICANA DE ESTUDIOS MUNICIPALES","B2","7191790",NA,NA
"2446-8606","REVISTA IBERO-AMERICANA DE ESTUDOS EM EDUCAÇÃO","A2","24468606",NA,NA
"1989-0397","REVISTA IBEROAMERICANA DE EVALUACIÓN EDUCATIVA","A4","19890397",NA,NA
"1130-1406","REVISTA IBEROAMERICANA DE MICOLOGÍA","B2","11301406","11301406","21739188"
"1886-8576","REVISTA IBEROAMERICANA DE PSICOLOGÍA DEL EJERCICIO Y EL DEPORTE","B1","18868576","18868576",NA
"2027-1786","REVISTA IBEROAMERICANA DE PSICOLOGÍA: CIENCIA Y TECNOLOGIA","B3","20271786",NA,NA
"1690-8627","REVISTA IBEROAMERICANA DE SISTEMAS, CIBERNÉTICA E INFORMÁTICA","B4","16908627",NA,NA
"1850-9959","REVISTA IBEROAMERICANA DE TECNOLOGIA EN EDUCACIÓN Y EDUCACIÓN EN TECNOLOGÍA (EN LÍNEA)","A4","18509959",NA,NA
"1665-0204","REVISTA IBEROAMERICANA DE TECNOLOGIA POSTCOSECHA","B4","16650204",NA,NA
"2236-6040","REVISTA IBEROAMERICANA DE TURISMO","B3","22366040",NA,NA
"1983-4195","REVISTA IBRACON DE ESTRUTURAS E MATERIAIS","A3","19834195",NA,NA
"2359-6384","REVISTA IDEAÇÃO","B1","23596384",NA,NA
"2526-3552","REVISTA IDEALOGANDO","B3","25263552",NA,NA
"2177-4099","REVISTA IDÉIAS","B4","21774099",NA,NA
"1548-0992","REVISTA IEEE AMÉRICA LATINA","B2","15480992","15480992",NA
