"ISSN","TITULO","ESTRATO","ISSN_temp","Print_ISSN","E_ISSN"
"2150-7740","AJOB NEUROSCIENCE","A3","21507740","21507740","21507759"
"0364-0094","AJS REVIEW","A2","3640094","3640094","14754541"
"0101-8027","AJURIS (PORTO ALEGRE)","B1","1018027",NA,NA
"1517-5367","AKRÓPOLIS (UNIPAR)","B4","15175367",NA,NA
"2351-8189","AL IRFAN - REVISTA DE CIÊNCIAS HUMANAS E SOCIAIS","B3","23518189",NA,NA
"2318-3179","ALABASTRO","B3","23183179",NA,NA
"2171-9624","ALABE","B1","21719624",NA,NA
"1983-9472","ALBUQUERQUE: REVISTA DE HISTÓRIA","B3","19839472",NA,NA
"2526-7280","ALBUQUERQUE: REVISTA DE HISTÓRIA","B3","25267280",NA,NA
"1413-2591","ALCANCE (UNIVALI) (CESSOU EM 2007)","A3","14132591",NA,NA
"2175-7402","ALCEU (ONLINE)","B1","21757402",NA,NA
"0311-5518","ALCHERINGA (SYDNEY)","B1","3115518","3115518","17520754"
"0741-8329","ALCOHOL (FAYETTEVILLE, N.Y.)","A3","7418329","7418329",NA
"0735-0414","ALCOHOL AND ALCOHOLISM (OXFORD)","A1","7350414","7350414","14643502"
"0145-6008","ALCOHOLISM, CLINICAL AND EXPERIMENTAL RESEARCH","A2","1456008","1456008","15300277"
"1980-0436","ALEA (2006. ONLINE)","A4","19800436","19800436",NA
"1807-0299","ALEA : ESTUDOS NEOLATINOS (ONLINE)","A1","18070299","1517106X","18070299"
"1517-106X","ALEA. ESTUDOS NEOLATINOS","A1","1517106X","1517106X","18070299"
"1983-2087","ALETHÉIA (GOIÂNIA)","B4","19832087",NA,NA
"1413-0394","ALETHEIA (ULBRA)","A3","14130394",NA,NA
"2317-2096","ALETRIA: REVISTA DE ESTUDOS DE LITERATURA","A4","23172096",NA,NA
"1982-5153","ALEXANDRIA (UFSC)","A3","19825153",NA,NA
"1981-5794","ALFA: REVISTA DE LINGUÍSTICA (UNESP. ONLINE)","A1","19815794",NA,NA
"0213-1854","ALFINGE: REVISTA DE FILOLOGÍA","B3","2131854",NA,NA
"1226-2617","ALGAE","A2","12262617","12262617","20930860"
"2211-9264","ALGAL RESEARCH","A1","22119264","22119264",NA
"1937-0652","ALGEBRA & NUMBER THEORY","A1","19370652","19370652",NA
"1726-3255","ALGEBRA AND DISCRETE MATHEMATICS","B4","17263255","17263255",NA
"0002-5232","ALGEBRA AND LOGIC","B1","25232","25232",NA
"1005-3867","ALGEBRA COLLOQUIUM","B2","10053867","10053867",NA
"0002-5240","ALGEBRA UNIVERSALIS (PRINTED ED.)","A4","25240","25240","14208911"
"1472-2739","ALGEBRAIC AND GEOMETRIC TOPOLOGY (ONLINE)","A3","14722739","14722747","14722739"
"1386-923X","ALGEBRAS AND REPRESENTATION THEORY","A3","1386923X","1386923X","15729079"
"2158-5571","ALGORITHMIC FINANCE (PRINT)","A4","21585571","21585571","21576203"
"0178-4617","ALGORITHMICA","A3","1784617","1784617","14320541"
"1432-0541","ALGORITHMICA (NEW YORK. INTERNET)","A3","14320541","1784617","14320541"
"1999-4893","ALGORITHMS","A4","19994893","19994893",NA
"1748-7188","ALGORITHMS FOR MOLECULAR BIOLOGY","A2","17487188","17487188",NA
"0269-2813","ALIMENTARY PHARMACOLOGY & THERAPEUTICS","A1","2692813","2692813","13652036"
"1365-2036","ALIMENTARY PHARMACOLOGY THERAPEUTICS","A1","13652036","2692813","13652036"
"0971-4693","ALLELOPATHY JOURNAL","B2","9714693","9714693","9735046"
"0974-1240","ALLELOPATHY JOURNAL","B2","9741240",NA,NA
"0301-0546","ALLERGOLOGIA ET IMMUNOPATHOLOGIA (ED. IMPRESA)","B3","3010546","3010546","15781267"
"1440-1592","ALLERGOLOGY INTERNATIONAL","A3","14401592","13238930","14401592"
"0105-4538","ALLERGY (COPENHAGEN)","A1","1054538","1054538","13989995"
"1088-5412","ALLERGY AND ASTHMA PROCEEDINGS (PRINT)","A4","10885412","10885412","15396304"
"2092-7355","ALLERGY, ASTHMA & IMMUNOLOGY RESEARCH","A2","20927355","20927355","20927363"
"1710-1492","ALLERGY, ASTHMA, AND CLINICAL IMMUNOLOGY (ONLINE)","B1","17101492","17101484","17101492"
"2182-7265","AL-MADAN ONLINE","B3","21827265",NA,NA
"2236-4633","ALMANACK","A1","22364633",NA,NA
"2526-8066","ALMANAQUE DE CIÊNCIA POLÍTICA","B3","25268066",NA,NA
